,epoch,x,y,z
43,1.53471E+12,-1.975585938,-1.1015625,-0.412109375
44,1.53471E+12,-1.947753906,-1.294921875,-0.291503906
45,1.53471E+12,-1.772460938,-1.33984375,0.075195313
46,1.53471E+12,-1.8359375,-1.26171875,0.742675781
47,1.53471E+12,-1.987792969,-1.186035156,1.651855469
48,1.53471E+12,-2.102539063,-1.374023438,2.405761719
49,1.53471E+12,-2.992675781,-2.142089844,3.456542969
1,1.53471E+12,-3.252929688,-2.871582031,4.440429688
2,1.53471E+12,-3.231933594,-3.468261719,4.697265625
3,1.53471E+12,-2.846191406,-3.594238281,4.512695313
4,1.53471E+12,-2.329101563,-3.246582031,3.6953125
5,1.53471E+12,-2.840820313,-2.874023438,2.794921875
6,1.53471E+12,-3.213378906,-2.262695313,2.0546875
7,1.53471E+12,-3.033203125,-1.8359375,1.493652344
8,1.53471E+12,-2.604003906,-1.563476563,1.083007813
9,1.53471E+12,-2.188964844,-1.375,0.735351563
10,1.53471E+12,-1.87890625,-1.341308594,0.353515625
11,1.53471E+12,-1.648925781,-1.28515625,-0.004882813
12,1.53471E+12,-1.522949219,-1.260742188,-0.138183594
13,1.53471E+12,-1.520019531,-1.346191406,-0.063476563
14,1.53471E+12,-1.641601563,-1.443359375,-0.039550781
15,1.53471E+12,-1.92578125,-1.518066406,-0.156738281
16,1.53471E+12,-2.255371094,-1.619140625,-0.292480469
17,1.53471E+12,-2.083984375,-1.607421875,-0.270507813
18,1.53471E+12,-2.119140625,-1.565917969,-0.099121094
19,1.53471E+12,-2.002929688,-1.581054688,-0.000488281
20,1.53471E+12,-1.872070313,-1.510742188,-0.11328125
21,1.53471E+12,-1.823242188,-1.427246094,-0.238769531
22,1.53471E+12,-1.50390625,-1.41796875,-0.337402344
23,1.53471E+12,-0.370117188,-1.493164063,-0.616210938
24,1.53471E+12,1.479003906,-1.251953125,-0.958007813
25,1.53471E+12,2.831542969,-1.114746094,-1.169433594
26,1.53471E+12,4.570800781,-1.303710938,-1.893066406
27,1.53471E+12,5.739257813,-1.276367188,-3.129394531
28,1.53471E+12,4.9140625,-1.540039063,-2.630371094
29,1.53471E+12,3.517089844,-1.575683594,-1.618652344
